time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-02 00:00:00+00:00,4,2,,
2024-07-03 00:00:00+00:00,5,2,,
2024-07-04 00:00:00+00:00,4,2,,
2024-07-05 00:00:00+00:00,4,2,,
2024-07-06 00:00:00+00:00,2,2,,
2024-07-07 00:00:00+00:00,2,2,,
2024-07-08 00:00:00+00:00,1,1,,
2024-07-09 00:00:00+00:00,2,2,,
2024-07-10 00:00:00+00:00,6,3,,
2024-07-11 00:00:00+00:00,1,1,,
2024-07-12 00:00:00+00:00,1,1,,
2024-07-13 00:00:00+00:00,1,1,,
2024-07-14 00:00:00+00:00,1,1,,
